,id,Category,inapp,loc,contac_r,contact_w,media_r,media_w,storage_R,storage_w,cam,ad,size_below20,size_below50,size_below100,rating_above3,rating_above4,rating_anything
102,104,2,0.0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0
103,105,2,1.0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0
104,106,2,1.0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0
105,107,2,0.0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0
106,108,2,1.0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0
107,109,2,0.0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0
108,110,2,0.0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0
109,111,2,0.0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0
110,112,2,0.0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0
111,113,2,0.0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
112,114,2,0.0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0
113,115,2,0.0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0
114,116,2,1.0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
115,117,2,0.0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0
116,118,2,0.0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0
117,119,2,1.0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0
118,120,2,0.0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0
119,121,2,0.0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
120,122,2,0.0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0
121,123,2,1.0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0
122,124,2,1.0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0
123,125,2,1.0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0
124,126,2,0.0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0
125,127,2,0.0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0
126,128,3,0.0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0
127,129,3,0.0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0
128,130,3,0.0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0
129,131,3,0.0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0
130,132,3,0.0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0
131,133,3,0.0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0
